month,day,campaign_number,user_engagement,banner,placement,displays,cost,clicks,revenue,post_click_conversions,post_click_sales_amount,,
April,1,camp 2,Medium,300 x 250,mno,304259,73.5196,3328,130.8237,52,6350.6364,,
April,1,camp 2,Low,468 x 60,def,273,0.0244,0,0,0,0,,
April,1,camp 2,Low,468 x 60,ghi,7,0.0027,0,0,0,0,,
April,1,camp 2,Low,468 x 60,mno,587,0.0259,2,0.0786,0,0,,
April,1,camp 2,Medium,468 x 60,def,1324,0.2195,9,0.3538,0,0,,
April,1,camp 2,Medium,468 x 60,ghi,159,0.0625,0,0,0,0,,
April,1,camp 2,Medium,468 x 60,jkl,4,0.0025,0,0,0,0,,
April,1,camp 2,Medium,468 x 60,mno,3094,0.2878,5,0.1965,0,0,,
April,1,camp 2,Low,580 x 400,mno,12604,2.4409,245,9.6317,0,0,,
April,1,camp 2,Medium,580 x 400,mno,46408,22.7809,1766,69.4187,18,1683.7638,,
April,1,camp 2,Low,670 x 90,def,552,0.1107,3,0.1179,0,0,,
April,1,camp 2,Low,670 x 90,ghi,371,0.2683,5,0.1965,0,0,,
April,1,camp 2,Low,670 x 90,jkl,36,0.0253,0,0,0,0,,
April,1,camp 2,Low,670 x 90,mno,4624,0.2915,24,0.9435,0,0,,
April,1,camp 2,Medium,670 x 90,def,3957,1.6338,40,1.572,0,0,,
April,1,camp 2,Medium,670 x 90,ghi,6501,4.9835,102,4.0095,5,359.4609,,
April,1,camp 2,Medium,670 x 90,jkl,449,0.3253,13,0.5104,0,0,,
April,1,camp 2,Medium,670 x 90,mno,19507,3.8768,252,9.9063,6,253.8565,,
April,1,camp 2,Low,728 x 90,def,12328,1.6025,74,2.9093,1,22.7769,,
April,1,camp 2,Low,728 x 90,ghi,2999,3.1095,37,1.454,1,11.7896,,
April,1,camp 2,Low,728 x 90,jkl,1380,0.5564,13,0.5111,0,0,,
April,1,camp 2,Low,728 x 90,mno,108130,9.4151,666,26.178,5,523.5354,,
April,1,camp 2,Medium,728 x 90,abc,7,0.0117,0,0,0,0,,
April,1,camp 2,Medium,728 x 90,def,59277,15.2085,722,28.3712,8,930.7221,,
April,1,camp 2,Medium,728 x 90,ghi,55588,63.9296,1515,59.5549,53,3942.6278,,
April,1,camp 2,Medium,728 x 90,jkl,13955,6.0226,228,8.9633,10,1160.8372,,
April,1,camp 2,Medium,728 x 90,mno,390929,79.3017,5323,209.2502,63,38386.9424,,
April,1,camp 2,Medium,800 x 250,mno,28,0.0112,2,0.0786,0,0,,
April,1,camp 3,High,160 x 600,def,2366,0.5795,4,0.2096,0,0,,
April,1,camp 3,High,160 x 600,ghi,23,0.027,0,0,0,0,,
April,1,camp 3,High,160 x 600,mno,22167,5.018,50,2.621,1,532.0745,,
April,1,camp 3,Low,160 x 600,abc,7,0.0093,0,0,0,0,,
April,1,camp 3,Low,160 x 600,def,11834,0.6988,21,1.1008,0,0,,
April,1,camp 3,Low,160 x 600,ghi,35,0.046,0,0,0,0,,
April,1,camp 3,Low,160 x 600,mno,41489,2.2941,167,8.7543,0,0,,
April,1,camp 3,Medium,160 x 600,abc,5,0.0064,0,0,0,0,,
April,1,camp 3,Medium,160 x 600,def,17057,1.4853,51,2.6734,1,9.6979,,
April,1,camp 3,Medium,160 x 600,ghi,54,0.0723,1,0.0524,0,0,,
April,1,camp 3,Medium,160 x 600,mno,82918,8.5739,533,27.9399,13,1195.3097,,
April,1,camp 3,High,240 x 400,def,7325,1.5326,13,0.6814,1,128.4186,,
April,1,camp 3,High,240 x 400,ghi,9037,7.402,67,3.5122,2,458.0165,,
April,1,camp 3,High,240 x 400,jkl,5524,2.4892,33,1.729,4,145.7912,,
April,1,camp 3,High,240 x 400,mno,25346,8.8753,62,3.2475,9,446.8068,,
April,1,camp 3,Low,240 x 400,def,9414,0.7765,17,0.8911,0,0,,
April,1,camp 3,Low,240 x 400,ghi,3810,2.6574,31,1.6242,0,0,,
April,1,camp 3,Low,240 x 400,jkl,459,0.1932,8,0.4193,0,0,,
April,1,camp 3,Low,240 x 400,mno,24730,0.6839,34,1.7823,0,0,,
April,1,camp 3,Medium,240 x 400,def,26007,2.7446,86,4.5065,0,0,,
April,1,camp 3,Medium,240 x 400,ghi,17962,13.865,315,16.5126,3,339.5186,,
April,1,camp 3,Medium,240 x 400,jkl,4265,1.8812,61,3.1976,0,0,,
April,1,camp 3,Medium,240 x 400,mno,59998,4.4489,180,9.4358,2,201.9655,,
April,1,camp 3,High,300 x 250,def,4967,1.7042,19,0.996,0,0,,
April,1,camp 3,High,300 x 250,ghi,1273,0.7603,13,0.6814,0,0,,
April,1,camp 3,High,300 x 250,jkl,293,0.1758,1,0.0524,0,0,,
April,1,camp 3,High,300 x 250,mno,30737,8.1757,94,4.9267,7,768.5861,,
April,1,camp 3,Low,300 x 250,abc,1,0.0025,0,0,0,0,,
April,1,camp 3,Low,300 x 250,def,12292,0.9557,63,3.3016,0,0,,
April,1,camp 3,Low,300 x 250,ghi,831,0.4489,9,0.4717,0,0,,
April,1,camp 3,Low,300 x 250,jkl,3,0.0011,0,0,0,0,,
April,1,camp 3,Low,300 x 250,mno,66100,2.7654,118,6.184,7,463.3167,,
April,1,camp 3,Medium,300 x 250,abc,4,0.008,1,0.0524,0,0,,
April,1,camp 3,Medium,300 x 250,def,21214,2.9495,126,6.6036,1,3.9307,,
April,1,camp 3,Medium,300 x 250,ghi,2866,1.5827,69,3.6153,0,0,,
April,1,camp 3,Medium,300 x 250,jkl,44,0.0227,1,0.0524,0,0,,
April,1,camp 3,Medium,300 x 250,mno,116957,9.17,418,21.9095,3,216.6186,,
April,1,camp 3,High,468 x 60,def,111,0.0177,0,0,0,0,,
April,1,camp 3,High,468 x 60,ghi,1,0.0003,0,0,0,0,,
April,1,camp 3,High,468 x 60,mno,330,0.0217,0,0,0,0,,
April,1,camp 3,Low,468 x 60,def,210,0.0141,0,0,0,0,,
April,1,camp 3,Low,468 x 60,ghi,4,0.0015,0,0,0,0,,
April,1,camp 3,Low,468 x 60,mno,363,0.0036,0,0,0,0,,
April,1,camp 3,Medium,468 x 60,def,421,0.0278,3,0.1572,0,0,,
April,1,camp 3,Medium,468 x 60,ghi,7,0.0027,0,0,0,0,,
April,1,camp 3,Medium,468 x 60,mno,893,0.0148,1,0.0524,0,0,,
April,1,camp 3,High,580 x 400,mno,7540,3.1057,32,1.6769,0,0,,
April,1,camp 3,Low,580 x 400,mno,10045,0.752,73,3.8267,0,0,,
April,1,camp 3,Medium,580 x 400,mno,23157,3.0873,248,12.9996,1,66.9636,,
April,1,camp 3,High,670 x 90,def,485,0.1478,0,0,0,0,,
April,1,camp 3,High,670 x 90,ghi,115,0.0928,1,0.0524,0,0,,
April,1,camp 3,High,670 x 90,jkl,28,0.0178,0,0,0,0,,
April,1,camp 3,High,670 x 90,mno,1978,0.3535,2,0.1048,0,0,,
April,1,camp 3,Low,670 x 90,def,368,0.0392,3,0.1572,0,0,,
April,1,camp 3,Low,670 x 90,ghi,44,0.0411,0,0,0,0,,
April,1,camp 3,Low,670 x 90,jkl,5,0.0026,0,0,0,0,,
April,1,camp 3,Low,670 x 90,mno,2852,0.0522,8,0.4193,0,0,,
April,1,camp 3,Medium,670 x 90,def,2313,0.3211,8,0.4193,0,0,,
April,1,camp 3,Medium,670 x 90,ghi,146,0.1441,1,0.0524,0,0,,
April,1,camp 3,Medium,670 x 90,jkl,78,0.0445,2,0.1048,0,0,,
April,1,camp 3,Medium,670 x 90,mno,7479,0.2922,5,0.2612,0,0,,
April,1,camp 3,High,728 x 90,def,7601,1.6849,23,1.2056,1,185.3349,,
April,1,camp 3,High,728 x 90,ghi,1274,1.4142,7,0.3669,0,0,,
April,1,camp 3,High,728 x 90,jkl,1960,0.7769,8,0.4193,0,0,,
April,1,camp 3,High,728 x 90,mno,37014,7.8852,105,5.5033,9,462.9524,,
April,1,camp 3,Low,728 x 90,abc,2,0.0021,0,0,0,0,,
April,1,camp 3,Low,728 x 90,def,12477,1.1348,63,3.2986,0,0,,
April,1,camp 3,Low,728 x 90,ghi,550,0.5864,4,0.2096,0,0,,
April,1,camp 3,Low,728 x 90,jkl,150,0.0445,0,0,0,0,,
April,1,camp 3,Low,728 x 90,mno,91468,3.836,316,16.5625,2,561.1487,,
April,1,camp 3,Medium,728 x 90,abc,2,0.003,0,0,0,0,,
April,1,camp 3,Medium,728 x 90,def,29216,3.4209,146,7.6526,1,8.6485,,
April,1,camp 3,Medium,728 x 90,ghi,1737,1.6859,17,0.8911,0,0,,
April,1,camp 3,Medium,728 x 90,jkl,1852,0.617,9,0.4717,0,0,,
April,1,camp 3,Medium,728 x 90,mno,174462,12.3332,707,37.055,1,136.5586,,
April,1,camp 3,High,800 x 250,mno,2,0.0001,0,0,0,0,,
April,1,camp 3,Low,800 x 250,mno,1,0,0,0,0,0,,
April,2,camp 1,High,160 x 600,abc,2,0.005,0,0,0,0,,
April,2,camp 1,High,160 x 600,def,17332,19.7963,140,25.2734,26,1921.272,,
April,2,camp 1,High,160 x 600,ghi,14288,26.2022,151,27.2622,59,3860.1421,,
April,2,camp 1,High,160 x 600,mno,154658,180.7481,1509,272.4525,542,23994.6771,,
April,2,camp 1,Low,160 x 600,def,341,0.039,0,0,0,0,,
April,2,camp 1,Low,160 x 600,ghi,10,0.0131,0,0,0,0,,
April,2,camp 1,Low,160 x 600,mno,2083,0.3635,3,0.5416,2,51.5584,,
April,2,camp 1,Medium,160 x 600,def,2261,0.953,2,0.361,0,0,,
April,2,camp 1,Medium,160 x 600,ghi,502,0.8465,3,0.5416,0,0,,
April,2,camp 1,Medium,160 x 600,mno,17427,8.2093,159,28.7066,37,2403.4922,,
April,2,camp 1,High,240 x 400,def,48847,43.9118,305,55.0681,43,3552.283,,
April,2,camp 1,High,240 x 400,ghi,304804,275.3454,7767,1402.2994,2187,113046.5668,,
April,2,camp 1,High,240 x 400,jkl,54447,24.8181,528,95.3277,175,8840.9398,,
April,2,camp 1,High,240 x 400,mno,187529,312.1415,1633,294.836,672,31683.7408,,
April,2,camp 1,Low,240 x 400,def,422,0.0556,1,0.1805,0,0,,
April,2,camp 1,Low,240 x 400,ghi,940,0.7412,18,3.2498,3,126.8199,,
April,2,camp 1,Low,240 x 400,jkl,314,0.1325,1,0.1805,0,0,,
April,2,camp 1,Low,240 x 400,mno,1580,0.3519,3,0.5416,0,0,,
April,2,camp 1,Medium,240 x 400,def,5354,1.8911,12,2.1665,1,13.3345,,
April,2,camp 1,Medium,240 x 400,ghi,16728,14.406,436,78.7176,40,1973.808,,
April,2,camp 1,Medium,240 x 400,jkl,3892,1.7273,43,7.7634,8,424.1517,,
April,2,camp 1,Medium,240 x 400,mno,15017,9.845,118,21.3053,24,1376.4896,,
April,2,camp 1,High,300 x 250,abc,6,0.0165,0,0,0,0,,
April,2,camp 1,High,300 x 250,def,41896,45.4333,277,50.0109,102,4162.0391,,
April,2,camp 1,High,300 x 250,ghi,70071,46.7762,1325,239.2221,361,14883.7289,,
April,2,camp 1,High,300 x 250,jkl,5132,2.8429,26,4.6941,13,971.9768,,
April,2,camp 1,High,300 x 250,mno,235317,275.17,1844,332.9273,896,77490.5358,,
April,2,camp 1,Low,300 x 250,abc,1,0.0008,0,0,0,0,,
April,2,camp 1,Low,300 x 250,def,424,0.1294,3,0.5416,0,0,,
April,2,camp 1,Low,300 x 250,ghi,216,0.1213,5,0.9027,0,0,,
April,2,camp 1,Low,300 x 250,jkl,12,0.0077,0,0,0,0,,
April,2,camp 1,Low,300 x 250,mno,2745,0.4702,6,1.0832,0,0,,
April,2,camp 1,Medium,300 x 250,abc,1,0.002,0,0,0,0,,
April,2,camp 1,Medium,300 x 250,def,4324,2.9404,22,3.9719,2,58.5481,,
April,2,camp 1,Medium,300 x 250,ghi,3171,1.9555,99,17.8739,10,88.1188,,
April,2,camp 1,Medium,300 x 250,jkl,230,0.1307,1,0.1805,1,150.8711,,
April,2,camp 1,Medium,300 x 250,mno,23404,11.9484,142,25.6373,14,520.8722,,
April,2,camp 1,High,468 x 60,def,1076,0.5295,4,0.7221,0,0,,
April,2,camp 1,High,468 x 60,ghi,350,0.1354,0,0,0,0,,
April,2,camp 1,High,468 x 60,jkl,9,0.0057,0,0,0,0,,
April,2,camp 1,High,468 x 60,mno,3432,1.7688,9,1.6259,17,1808.8476,,
April,2,camp 1,Low,468 x 60,def,5,0.0004,0,0,0,0,,
April,2,camp 1,Low,468 x 60,mno,26,0.0016,0,0,0,0,,
April,2,camp 1,Medium,468 x 60,def,86,0.0349,0,0,0,0,,
April,2,camp 1,Medium,468 x 60,ghi,27,0.0104,0,0,0,0,,
April,2,camp 1,Medium,468 x 60,mno,372,0.0785,0,0,0,0,,
April,2,camp 1,High,580 x 400,mno,45327,110.5201,889,160.5044,453,19132.9713,,
April,2,camp 1,Low,580 x 400,mno,375,0.1191,5,0.9027,0,0,,
April,2,camp 1,Medium,580 x 400,mno,3669,3.9015,48,8.6661,5,144.5778,,
April,2,camp 1,High,670 x 90,def,4491,7.9513,49,8.8467,30,576.9186,,
April,2,camp 1,High,670 x 90,ghi,16534,12.9019,135,24.3735,99,2985.5434,,
April,2,camp 1,High,670 x 90,jkl,274,0.1868,1,0.1805,0,0,,
April,2,camp 1,High,670 x 90,mno,16974,22.8296,146,26.3595,51,2221.0902,,
April,2,camp 1,Low,670 x 90,def,39,0.0069,1,0.1805,0,0,,
April,2,camp 1,Low,670 x 90,ghi,21,0.0105,1,0.1805,0,0,,
April,2,camp 1,Low,670 x 90,mno,155,0.021,0,0,0,0,,
April,2,camp 1,Medium,670 x 90,def,418,0.3983,9,1.6249,0,0,,
April,2,camp 1,Medium,670 x 90,ghi,995,0.6479,5,0.9027,0,0,,
April,2,camp 1,Medium,670 x 90,jkl,29,0.0207,0,0,0,0,,
April,2,camp 1,Medium,670 x 90,mno,1494,0.7487,16,2.8887,1,241.2338,,
April,2,camp 1,High,728 x 90,abc,13,0.0176,0,0,0,0,,
April,2,camp 1,High,728 x 90,def,68761,76.9999,442,79.8017,130,7581.738,,
April,2,camp 1,High,728 x 90,ghi,206356,266.9145,2910,525.3868,1064,47941.3027,,
April,2,camp 1,High,728 x 90,jkl,23526,10.2019,176,31.7759,82,1995.7442,,
April,2,camp 1,High,728 x 90,mno,362969,339.7693,2384,430.4202,912,44394.7214,,
April,2,camp 1,Low,728 x 90,def,637,0.122,1,0.1805,0,0,,
April,2,camp 1,Low,728 x 90,ghi,276,0.3279,4,0.7221,1,218.2788,,
April,2,camp 1,Low,728 x 90,jkl,108,0.0422,0,0,0,0,,
April,2,camp 1,Low,728 x 90,mno,4194,0.6476,9,1.6249,4,230.4656,,
April,2,camp 1,Medium,728 x 90,def,6857,3.4406,27,4.8747,6,167.133,,
April,2,camp 1,Medium,728 x 90,ghi,9083,10.9614,116,20.9432,18,693.3314,,
April,2,camp 1,Medium,728 x 90,jkl,1972,0.8353,22,3.9719,2,125.6464,,
April,2,camp 1,Medium,728 x 90,mno,39528,17.6408,218,39.3588,42,1589.2214,,
April,2,camp 1,High,800 x 250,mno,4,0.0038,0,0,0,0,,
April,2,camp 2,Low,160 x 600,def,6347,0.4525,19,0.735,0,0,,
April,2,camp 2,Low,160 x 600,ghi,99,0.1353,5,0.1934,0,0,,
April,2,camp 2,Low,160 x 600,mno,54552,6.4353,425,16.4424,0,0,,
April,2,camp 2,Medium,160 x 600,abc,1,0.0007,0,0,0,0,,
April,2,camp 2,Medium,160 x 600,def,20551,4.472,225,8.7048,3,134.3125,,
April,2,camp 2,Medium,160 x 600,ghi,2372,3.5077,42,1.6249,0,0,,
April,2,camp 2,Medium,160 x 600,mno,189214,44.2336,4033,156.0297,22,1214.7213,,
April,2,camp 2,Low,240 x 400,def,11237,1.3907,47,1.8185,0,0,,
April,2,camp 2,Low,240 x 400,ghi,18523,13.8797,431,16.6746,4,189.1079,,
April,2,camp 2,Low,240 x 400,jkl,3967,1.6288,55,2.1288,1,37.8933,,
April,2,camp 2,Low,240 x 400,mno,40040,4.4069,221,8.5503,3,518.4353,,
April,2,camp 2,Medium,240 x 400,def,55529,12.8383,809,31.2987,4,277.7942,,
April,2,camp 2,Medium,240 x 400,ghi,166072,138.1988,8098,313.3002,128,12831.1765,,
April,2,camp 2,Medium,240 x 400,jkl,28532,12.0469,668,25.8437,8,547.2576,,
April,2,camp 2,Medium,240 x 400,mno,172704,47.6149,2199,85.0746,21,1179.8776,,
April,2,camp 2,Low,300 x 250,abc,1,0.0008,0,0,0,0,,
April,2,camp 2,Low,300 x 250,def,11302,1.4426,62,2.3986,0,0,,
April,2,camp 2,Low,300 x 250,ghi,5093,3.0733,111,4.2943,1,236.4494,,
April,2,camp 2,Low,300 x 250,jkl,44,0.0237,0,0,0,0,,
April,2,camp 2,Low,300 x 250,mno,73880,6.8814,400,15.4752,2,172.0206,,
April,2,camp 2,Medium,300 x 250,abc,8,0.0135,0,0,0,0,,
April,2,camp 2,Medium,300 x 250,def,36384,12.8919,424,16.4038,8,671.5113,,
April,2,camp 2,Medium,300 x 250,ghi,39240,24.1564,1663,64.3384,12,1950.9304,,
April,2,camp 2,Medium,300 x 250,jkl,1033,0.5741,7,0.2708,2,124.0086,,
April,2,camp 2,Medium,300 x 250,mno,248532,56.5878,2876,111.2696,36,1878.5456,,
April,2,camp 2,Low,468 x 60,def,444,0.0319,2,0.0773,0,0,,
April,2,camp 2,Low,468 x 60,ghi,2,0.0007,0,0,0,0,,
April,2,camp 2,Low,468 x 60,mno,712,0.0303,2,0.0773,0,0,,
April,2,camp 2,Medium,468 x 60,def,1242,0.174,8,0.3095,0,0,,
April,2,camp 2,Medium,468 x 60,ghi,92,0.0355,0,0,0,0,,
April,2,camp 2,Medium,468 x 60,jkl,11,0.007,0,0,0,0,,
April,2,camp 2,Medium,468 x 60,mno,2585,0.2532,30,1.1606,0,0,,
April,2,camp 2,Low,580 x 400,mno,13697,2.5313,300,11.6064,3,279.6255,,
April,2,camp 2,Medium,580 x 400,mno,45561,20.2326,1991,77.0282,29,1374.6566,,
April,2,camp 2,Low,670 x 90,def,446,0.0748,3,0.116,0,0,,
April,2,camp 2,Low,670 x 90,ghi,272,0.1769,4,0.1547,0,0,,
April,2,camp 2,Low,670 x 90,jkl,26,0.018,1,0.0386,0,0,,
April,2,camp 2,Low,670 x 90,mno,4372,0.2837,40,1.5475,0,0,,
April,2,camp 2,Medium,670 x 90,def,3268,1.3351,52,2.0117,0,0,,
April,2,camp 2,Medium,670 x 90,ghi,5673,4.1819,86,3.3271,1,16.7004,,
April,2,camp 2,Medium,670 x 90,jkl,307,0.2131,3,0.116,0,0,,
April,2,camp 2,Medium,670 x 90,mno,18579,3.4554,199,7.6989,5,327.6117,,
April,2,camp 2,Low,728 x 90,def,12623,1.8648,83,3.2111,0,0,,
April,2,camp 2,Low,728 x 90,ghi,3252,3.2628,56,2.1665,0,0,,
April,2,camp 2,Low,728 x 90,jkl,1101,0.4937,21,0.8124,1,73.946,,
April,2,camp 2,Low,728 x 90,mno,97508,7.1139,639,24.7217,4,455.2184,,
April,2,camp 2,Medium,728 x 90,abc,3,0.0045,0,0,0,0,,
